critic,fresh,imdb,publication,quote,review_date,rtid,title
Paul Tatara,rotten,0120735,CNN.com,"Go see it if you're in the mood. You're bound to get a chuckle, but don't expect too much.",2000-01-01,15261,"Lock, Stock and Two Smoking Barrels"
Owen Gleiberman,rotten,0127288,Entertainment Weekly,,2011-09-07,15146,Six Ways to Sunday
Lisa Nesselson,none,0127288,Variety,,2009-03-26,15146,Six Ways to Sunday
,none,0127288,Houston Chronicle,,2005-07-21,15146,Six Ways to Sunday
,none,0127288,L.A. Weekly,,2003-04-22,15146,Six Ways to Sunday
Lawrence Van Gelder,none,0127288,New York Times,,2000-01-01,15146,Six Ways to Sunday
J. Hoberman,none,0127288,Village Voice,,2000-01-01,15146,Six Ways to Sunday
,rotten,0127288,Entertainment Weekly,,1999-03-05,15146,Six Ways to Sunday
Leonard Klady,none,0157208,Variety,,2008-12-03,16415,L'école de la chair
Andrew Sarris,none,0157208,New York Observer,,2007-04-27,16415,L'école de la chair
,none,0157208,Time Out,,2006-02-09,16415,L'école de la chair
,none,0157208,Houston Chronicle,,2005-07-21,16415,L'école de la chair
,fresh,0157208,Globe and Mail,,2003-04-25,16415,L'école de la chair
Kevin Thomas,none,0157208,Los Angeles Times,,2001-02-14,16415,L'école de la chair
Roger Ebert,fresh,0157208,Chicago Sun-Times,,2000-01-01,16415,L'école de la chair
Edward Guthmann,none,0157208,San Francisco Chronicle,,2000-01-01,16415,L'école de la chair
Paul Tatara,none,0157208,CNN.com,,2000-01-01,16415,L'école de la chair
Joe Baltake,none,0157208,Sacramento Bee,,2000-01-01,16415,L'école de la chair
J. Hoberman,none,0157208,Village Voice,,2000-01-01,16415,L'école de la chair
James Berardinelli,fresh,0157208,ReelViews,,2000-01-01,16415,L'école de la chair
Stephen Holden,none,0157208,New York Times,,2000-01-01,16415,L'école de la chair
,fresh,0157208,Entertainment Weekly,,1998-06-01,16415,L'école de la chair
Owen Gleiberman,fresh,0159696,Entertainment Weekly,,2011-09-07,16387,Relax... It's Just Sex
,none,0159696,Houston Chronicle,,2005-07-21,16387,Relax... It's Just Sex
,rotten,0159696,Globe and Mail,,2002-07-12,16387,Relax... It's Just Sex
Edward Guthmann,fresh,0159696,San Francisco Chronicle,,2000-01-01,16387,Relax... It's Just Sex
Joe Baltake,none,0159696,Sacramento Bee,,2000-01-01,16387,Relax... It's Just Sex
Dennis Lim,none,0159696,Village Voice,,2000-01-01,16387,Relax... It's Just Sex
Anita Gates,none,0159696,New York Times,,2000-01-01,16387,Relax... It's Just Sex
,fresh,0159696,Entertainment Weekly,,1999-03-05,16387,Relax... It's Just Sex
Lisa Schwarzbaum,fresh,0120646,Entertainment Weekly,,2011-09-07,11773,The Deep End of the Ocean
Emanuel Levy,rotten,0120646,Variety,"Well-acted but pedestrian TV-like melodrama what what consitutes a family, or sociology versus biology in the kinship debate.",2006-06-20,11773,The Deep End of the Ocean
,none,0120646,Time Out,,2006-01-26,11773,The Deep End of the Ocean
,none,0120646,Houston Chronicle,,2005-07-21,11773,The Deep End of the Ocean
Robert Denerstein,none,0120646,Denver Rocky Mountain News,,2002-08-09,11773,The Deep End of the Ocean
,rotten,0120646,Globe and Mail,,2002-03-22,11773,The Deep End of the Ocean
Peter Travers,none,0120646,Rolling Stone,,2001-05-11,11773,The Deep End of the Ocean
Joe Baltake,none,0120646,Sacramento Bee,,2000-01-01,11773,The Deep End of the Ocean
Edward Guthmann,none,0120646,San Francisco Chronicle,,2000-01-01,11773,The Deep End of the Ocean
Roger Ebert,rotten,0120646,Chicago Sun-Times,,2000-01-01,11773,The Deep End of the Ocean
Susan Stark,rotten,0120646,Detroit News,,2000-01-01,11773,The Deep End of the Ocean
Andrew O'Hehir,none,0120646,Salon.com,,2000-01-01,11773,The Deep End of the Ocean
Janet Maslin,none,0120646,New York Times,,2000-01-01,11773,The Deep End of the Ocean
Paul Tatara,none,0120646,CNN.com,,2000-01-01,11773,The Deep End of the Ocean
James Berardinelli,rotten,0120646,ReelViews,,2000-01-01,11773,The Deep End of the Ocean
Peter Rainer,none,0120646,New York Magazine,,2000-01-01,11773,The Deep End of the Ocean
,fresh,0120646,Entertainment Weekly,,1999-03-12,11773,The Deep End of the Ocean
Jonathan Rosenbaum,rotten,0120646,Chicago Reader,,1999-03-12,11773,The Deep End of the Ocean
Owen Gleiberman,rotten,0131646,Entertainment Weekly,,2011-09-07,11724,Wing Commander
Lisa Alspector,rotten,0131646,Chicago Reader,Excruciatingly earnest yet convictionless.,2010-04-07,11724,Wing Commander
Godfrey Cheshire,rotten,0131646,Variety,"Though the ingredients are potent, their blending here mostly comes off as formulaic, humdrum and sometimes unintentionally laughable.",2009-03-26,11724,Wing Commander
,rotten,0131646,Globe and Mail,,2002-03-22,11724,Wing Commander
Anita Gates,rotten,0131646,New York Times,Wing Commander is based on a video game and has roughly the same degree of character development. That is all most moviegoers will need to know.,2000-01-01,11724,Wing Commander
James Berardinelli,rotten,0131646,ReelViews,The plot has all the depth and originality of a video game without the fun of the interactivity.,2000-01-01,11724,Wing Commander
Athima Chansanchai,rotten,0131646,Village Voice,"Though this could be the meat of a good space story, the combat scenes are weak variations of the game's.",2000-01-01,11724,Wing Commander
Roger Ebert,rotten,0131646,Chicago Sun-Times,"These actors, alas, are at the service of a submoronic script and special effects that look like a video game writ large.",2000-01-01,11724,Wing Commander
Mick LaSalle,rotten,0131646,San Francisco Chronicle,"As the movie transforms into a video game -- with a faux John Williams score to boot -- the human element turns corny, then laughable.",2000-01-01,11724,Wing Commander
Andrew O'Hehir,rotten,0131646,Salon.com,"Things get truly dispiriting when the character dramas recede and the spark provided by Lillard and Holder goes out, leaving us only one incomprehensible battle after another.",2000-01-01,11724,Wing Commander
Susan Stark,rotten,0131646,Detroit News,,2000-01-01,11724,Wing Commander
,rotten,0131646,Entertainment Weekly,,1999-03-12,11724,Wing Commander
Todd McCarthy,none,0171363,Variety,,2008-06-18,10954,The Haunting
Derek Adams,none,0171363,Time Out,,2006-06-24,10954,The Haunting
,rotten,0171363,Globe and Mail,,2002-03-22,10954,The Haunting
Kenneth Turan,none,0171363,Los Angeles Times,,2001-02-14,10954,The Haunting
Joe Baltake,rotten,0171363,Sacramento Bee,All logic is deadened by the obnoxious special effects!,2000-01-01,10954,The Haunting
,rotten,0171363,Atlanta Journal-Constitution,An overpriced mess!,2000-01-01,10954,The Haunting
Jeff Millar,rotten,0171363,Houston Chronicle,The actors are basically helpless with this.,2000-01-01,10954,The Haunting
J. Hoberman,none,0171363,Village Voice,,2000-01-01,10954,The Haunting
Janet Maslin,fresh,0171363,New York Times,A lavish illustration of how to take a fairly modest black-and -white horror film from 1963 and amplify it so relentlessly that the sight of the flying cow in Twister would not be all that amiss.,2000-01-01,10954,The Haunting
Jay Carr,rotten,0171363,Boston Globe,"If you crave horror, you're better off seeing The Blair Witch Project a second or third.",2000-01-01,10954,The Haunting
Susan Stark,rotten,0171363,Detroit News,The Haunting is a muddled mess that defies any rationality.,2000-01-01,10954,The Haunting
Michael Wilmington,fresh,0171363,Chicago Tribune,"In The Haunting, the moviemakers succeed in something very difficult: creating a haunted house with real personality and terror.",2000-01-01,10954,The Haunting
Rod Dreher,rotten,0171363,New York Post,"Clumsy, bloated and wretchedly overdone!",2000-01-01,10954,The Haunting
Lisa Schwarzbaum,rotten,0171363,Entertainment Weekly,Worse than awful!,2000-01-01,10954,The Haunting
Peter Rainer,none,0171363,New York Magazine,,2000-01-01,10954,The Haunting
Robert Horton,rotten,0171363,Film.com,"This film relies on special effects instead of suggestion, plot instead of mood, and explanation instead of mystery.",2000-01-01,10954,The Haunting
Ernest Hardy,rotten,0171363,Film.com,"There are few truly frightening moments in the film, little tension or real sense of menace, and the camp humor that is suggested in early scenes dissipates fairly quickly.",2000-01-01,10954,The Haunting
Roger Ebert,fresh,0171363,Chicago Sun-Times,"To my surprise, I find myself recommending The Haunting on the basis of its locations, its sets, its art direction, its sound design, and the overall splendor of its visuals.",2000-01-01,10954,The Haunting
Desmond Ryan,rotten,0171363,Philadelphia Inquirer,"A passable piece of summer hokum, but it underlines how difficult it has become to make an effective horror movie.",2000-01-01,10954,The Haunting
Kevin Maynard,rotten,0171363,Mr. Showbiz,Shockingly lethargic!,2000-01-01,10954,The Haunting
Variety Staff,fresh,0094964,Variety,Director David Cronenberg handles his usual fondness for gore in muted style.,2007-09-24,16734,Dead Ringers
Jonathan Rosenbaum,rotten,0094964,Chicago Reader,People like myself who find the character played by [Genevieve] Bujold (in one of her best performances) more interesting than either of the twins are bound to feel rather frustrated by the end.,2007-09-24,16734,Dead Ringers
Nigel Floyd,fresh,0094964,Time Out,"An intense psychological drama which confronts [Cronenberg's] familiar preoccupations -- fear of physical and mental disintegration, mortality, the power struggle between the sexes -- without the paradoxical protection of visceral disgust.",2006-01-26,16734,Dead Ringers
Janet Maslin,fresh,0094964,New York Times,"Cronenberg, who has begun to emerge as a master of body-related horrific fantasy, clearly understands that a small amount of medical mischief can be more unnerving than conventional grisliness.",2003-05-20,16734,Dead Ringers
Rita Kempley,rotten,0094964,Washington Post,"Really sordid stuff that becomes ridiculous, painful, unbelievable and tedious.",2000-01-01,16734,Dead Ringers
Roger Ebert,rotten,0094964,Chicago Sun-Times,"The kind of movie where you ask people how they liked it, and they say, 'Well, it was well made,' and then they wince.",2000-01-01,16734,Dead Ringers
Desson Thomson,fresh,0094964,Washington Post,Watching Ringers is not unlike watching a critical operation -- unnerving but also enthralling.,2000-01-01,16734,Dead Ringers
,rotten,0107626,Entertainment Weekly,,2009-11-06,11739,My Boyfriend's Back
,none,0107626,Variety,,2009-03-26,11739,My Boyfriend's Back
Stephen Holden,none,0107626,New York Times,,2003-05-20,11739,My Boyfriend's Back
Rita Kempley,none,0107626,Washington Post,,2000-01-01,11739,My Boyfriend's Back
James Berardinelli,rotten,0107626,ReelViews,,2000-01-01,11739,My Boyfriend's Back
,none,0056931,Variety,,2012-02-23,519444206,Children of the Damned
,none,0056931,Time Out,,2006-06-24,519444206,Children of the Damned
Howard Thompson,none,0056931,New York Times,,2005-05-09,519444206,Children of the Damned
Lael Loewenstein,rotten,0118665,Variety,"A thoroughly misguided, unfunny film.",2007-01-05,11638,Baby Geniuses
F.X. Feeney,rotten,0118665,L.A. Weekly,"There are ticklish moments, but no real laughs.",2007-01-05,11638,Baby Geniuses
Jonathan Rosenbaum,rotten,0118665,Chicago Reader,The hokey dialogue and witless physical gags keep everything painful and hectoring.,2007-01-05,11638,Baby Geniuses
Jeff Millar,rotten,0118665,Houston Chronicle,"If the remainder of this century will bring a lamer film than Baby Geniuses, may I please be in Estonia when it comes.",2005-07-21,11638,Baby Geniuses
Liam Lacey,rotten,0118665,Globe and Mail,The movie is about as endearing as unanesthetized gum surgery.,2002-03-19,11638,Baby Geniuses
Peter Stack,rotten,0118665,San Francisco Chronicle,The film has a freak-show quality.,2000-01-01,11638,Baby Geniuses
Janet Maslin,rotten,0118665,New York Times,"One way to get through Baby Geniuses is to think about whether it really is the worst movie you've ever seen. Probably not, but pretty darn close.",2000-01-01,11638,Baby Geniuses
Paul Tatara,rotten,0118665,CNN.com,Story? Who cares. Character development? That's for show-offs. Funny dialogue? Too hard to write. These babies can talk!!,2000-01-01,11638,Baby Geniuses
James Berardinelli,rotten,0118665,ReelViews,"I'll admit to chuckling a few times during the proceedings, but it's not worth losing 1 1/2 hours of one's life for a few minutes of amusement.",2000-01-01,11638,Baby Geniuses
Roger Ebert,rotten,0118665,Chicago Sun-Times,"Bad films are easy to make, but a film as unpleasant as Baby Geniuses achieves a kind of grandeur.",2000-01-01,11638,Baby Geniuses
,rotten,0118665,Entertainment Weekly,,1999-03-12,11638,Baby Geniuses
Leonard Klady,none,0120859,Variety,,2009-03-26,15977,Telling You
Kathleen Craughwell,none,0120859,Los Angeles Times,,2001-02-14,15977,Telling You
Owen Gleiberman,fresh,0157016,Entertainment Weekly,,2011-09-07,18879,Seul contre tous
Lisa Nesselson,none,0157016,Variety,,2009-03-26,18879,Seul contre tous
Geoff Andrew,none,0157016,Time Out,,2006-02-09,18879,Seul contre tous
Stephen Holden,none,0157016,New York Times,,2004-08-30,18879,Seul contre tous
Bob Graham,none,0157016,San Francisco Chronicle,,2001-04-03,18879,Seul contre tous
J. Hoberman,none,0157016,Village Voice,,2001-04-03,18879,Seul contre tous
Kevin Thomas,none,0157016,Los Angeles Times,,2001-04-03,18879,Seul contre tous
Jonathan Rosenbaum,fresh,0157016,Chicago Reader,,2001-04-03,18879,Seul contre tous
,fresh,0157016,Entertainment Weekly,,1998-05-16,18879,Seul contre tous
Louise Kennedy,fresh,0141098,Boston Globe,,2011-11-24,11350,Forces of Nature
Owen Gleiberman,rotten,0141098,Entertainment Weekly,,2011-09-07,11350,Forces of Nature
Richard Corliss,rotten,0141098,TIME Magazine,DreamWorks' first reprehensible fiasco.,2009-06-14,11350,Forces of Nature
Joe Leydon,fresh,0141098,Variety,An extremely enjoyable neo-screwball comedy about attractive opposites on the road.,2009-03-26,11350,Forces of Nature
,rotten,0141098,Time Out,A bumbling and typically charmless latter-day studio screwball comedy.,2006-01-26,11350,Forces of Nature
,fresh,0141098,Detroit Free Press,,2005-04-29,11350,Forces of Nature
,fresh,0141098,Dallas Morning News,,2004-06-05,11350,Forces of Nature
,rotten,0141098,Globe and Mail,,2002-03-19,11350,Forces of Nature
Peter Travers,rotten,0141098,Rolling Stone,The cinematic equivalent of Styrofoam: a weightless romantic comedy of synthetic feelings.,2001-05-11,11350,Forces of Nature
Kenneth Turan,fresh,0141098,Los Angeles Times,A most pleasant and diverting venture.,2001-02-14,11350,Forces of Nature
Roger Ebert,rotten,0141098,Chicago Sun-Times,"A romantic shaggy dog story, a movie that leads us down the garden path of romance, only to abandon us by the compost heap of uplifting endings. And it's not even clever enough to give us the right happy ending.",2000-01-01,11350,Forces of Nature
Gina Fattore,rotten,0141098,Chicago Reader,A movie that obviously aspires to screwball status while trampling on the irrepressible female freedom that defines the genre.,2000-01-01,11350,Forces of Nature
Paul Tatara,rotten,0141098,CNN.com,I kept waiting for the plot to kick in. And waited and waited and waited.,2000-01-01,11350,Forces of Nature
Janet Maslin,rotten,0141098,New York Times,The film shows off Ms. Bullock to amusing if overly frenetic advantage. It also leaves Mr. Affleck without enough of a Cary Grant aura to play his wimpier character with style.,2000-01-01,11350,Forces of Nature
Justine Elias,rotten,0141098,Village Voice,[Affleck is] too sturdy and sated. And you can't have screwball comedy if only one party desperately wants to screw.,2000-01-01,11350,Forces of Nature
Mary Elizabeth Williams,rotten,0141098,Salon.com,"At the center of every swirling storm is a place of placid inertia, safe and still -- and not very exciting. And it's where Affleck and Bullock spend most of their time, floating amiably but never doing enough to truly connect.",2000-01-01,11350,Forces of Nature
Mick LaSalle,rotten,0141098,San Francisco Chronicle,"A so-so, OK, perfectably acceptable, nice, rather charming romantic comedy with two stars who are entirely watchable. In 1999, that adds up to a sort-of, kind-of middling experience at the movies.",2000-01-01,11350,Forces of Nature
Susan Stark,rotten,0141098,Detroit News,,2000-01-01,11350,Forces of Nature
James Berardinelli,fresh,0141098,ReelViews,"Affleck is as appealing as usual. Bullock, following a series of ill-advised career choices, is back in top form.",2000-01-01,11350,Forces of Nature
,fresh,0141098,Boston Globe,,1999-03-19,11350,Forces of Nature
Dave Kehr,rotten,0049408,Chicago Reader,Typically overproduced.,2012-02-10,9390,The King and I
Variety Staff,fresh,0049408,Variety,All the ingredients that made Rodgers & Hammerstein's The King and I a memorable stage experience have been faithfully transferred to the screen.,2009-03-26,9390,The King and I
Geoff Andrew,fresh,0049408,Time Out,Over-long but visually spectacular.,2006-02-09,9390,The King and I
Bosley Crowther,fresh,0049408,New York Times,"If you don't...see [The King and I], believe us, you'll be missing a grand and moving thing.",2003-05-20,9390,The King and I
Lisa Schwarzbaum,rotten,0129332,Entertainment Weekly,,2011-09-07,13800,Ravenous
Geoff Andrew,none,0129332,Time Out,,2006-02-09,13800,Ravenous
,rotten,0129332,Globe and Mail,,2002-03-22,13800,Ravenous
Peter Travers,none,0129332,Rolling Stone,,2001-05-11,13800,Ravenous
Kevin Thomas,none,0129332,Los Angeles Times,,2001-02-14,13800,Ravenous
J. Hoberman,none,0129332,Village Voice,,2000-01-01,13800,Ravenous
Peter Rainer,none,0129332,New York Magazine,,2000-01-01,13800,Ravenous
Janet Maslin,none,0129332,New York Times,,2000-01-01,13800,Ravenous
James Berardinelli,rotten,0129332,ReelViews,,2000-01-01,13800,Ravenous
Roger Ebert,fresh,0129332,Chicago Sun-Times,,2000-01-01,13800,Ravenous
Paul Tatara,none,0129332,CNN.com,,2000-01-01,13800,Ravenous
Andrew O'Hehir,none,0129332,Salon.com,,2000-01-01,13800,Ravenous
Susan Stark,fresh,0129332,Detroit News,,2000-01-01,13800,Ravenous
Edward Guthmann,rotten,0129332,San Francisco Chronicle,,2000-01-01,13800,Ravenous
Joe Baltake,none,0129332,Sacramento Bee,,2000-01-01,13800,Ravenous
,rotten,0129332,Entertainment Weekly,,1999-03-19,13800,Ravenous
Todd McCarthy,none,0219965,Variety,,2008-11-26,11099,Bandits
,none,0219965,Time Out,,2006-01-26,11099,Bandits
Jeff Strickler,fresh,0219965,Minneapolis Star Tribune,Thornton and Willis save the day with their performances.,2002-11-06,11099,Bandits
Peter Rainer,rotten,0219965,New York Magazine,"I like movies that don't settle into a groove, especially if the groove is already well worn. But the different kinds of movies that make up Bandits are pretty worn, too.",2002-01-22,11099,Bandits
Rita Kempley,fresh,0219965,Washington Post,"It's just about impossible not to fall for the ingratiating trio, especially Thornton's Terry.",2002-01-06,11099,Bandits
Peter Travers,rotten,0219965,Rolling Stone,What started as cute becomes cloying and bloated.,2001-10-18,11099,Bandits
,none,0219965,Ebert & Roeper,,2001-10-18,11099,Bandits
Peter Howell,rotten,0219965,Toronto Star,"The movie has a one-take feel about it, containing vast stretches where nothing much happens. The cinematography looks amateurish, often badly composed and poorly lit.",2001-10-12,11099,Bandits
David Edelstein,rotten,0219965,Slate,"Levinson must think he's on safe ground morally by keeping Bandits bloodless, as if the absence of carnage somehow makes kidnapping and armed robbery wholesome.",2001-10-12,11099,Bandits
Moira MacDonald,fresh,0219965,Seattle Times,"Bruce Willis and Billy Bob Thornton may be the bank robbers in Barry Levinson's likable comedy Bandits, but Cate Blanchett is the real thief.",2001-10-12,11099,Bandits
Mick LaSalle,fresh,0219965,San Francisco Chronicle,"Bandits isn't any better than a good formula picture -- it isn't incisive or memorable, just light and amusing -- but it's different.",2001-10-12,11099,Bandits
Joe Baltake,fresh,0219965,Sacramento Bee,"Even though it has a framework that gives the impression a solid story is being told here, conceptually Bandits is unformed, which is just the right touch that this particular movie calls for.",2001-10-12,11099,Bandits
Jay Boyar,fresh,0219965,Orlando Sentinel,"Bandits is a more nuanced film than the goofy previews make it out to be. It's funnier, for one thing, and more lyrical.",2001-10-12,11099,Bandits
John Anderson,fresh,0219965,Newsday,"A screwball comedy in the best tradition, it's easily the best-written mainstream film to come out this year.",2001-10-12,11099,Bandits
Elvis Mitchell,rotten,0219965,New York Times,Bandits is guilty of behaving like a petty thievery corporation; it steals from so many other sources that we're forced to realize that it has little of its own to offer.,2001-10-12,11099,Bandits
Lou Lumenick,fresh,0219965,New York Post,Plenty of great one-liners.,2001-10-12,11099,Bandits
Eric Harrison,fresh,0219965,Houston Chronicle,An occasionally hilarious movie that works (to the extent it does work) despite the director's best efforts to muck it up.,2001-10-12,11099,Bandits
Liam Lacey,fresh,0219965,Globe and Mail,Connects often enough for serviceable value-for-dollar entertainment.,2001-10-12,11099,Bandits
Tom Long,rotten,0219965,Detroit News,"Too bad we're ready for the film's final pay-off 20 minutes before it comes. Less is more in comedy and a bit less would have made Bandits more successful. As it is, both the performers and the audience end up robbed by excess.",2001-10-12,11099,Bandits
Terry Lawson,fresh,0219965,Detroit Free Press,"Like all the best outlaws, it empties your pockets painlessly, and leaves a good story behind.",2001-10-12,11099,Bandits
Lisa Schwarzbaum,fresh,0118892,Entertainment Weekly,,2011-09-07,12932,Dangerous Beauty
Leonard Klady,none,0118892,Variety,,2009-03-26,12932,Dangerous Beauty
,none,0118892,Time Out,,2006-01-26,12932,Dangerous Beauty
,rotten,0118892,Globe and Mail,,2002-04-12,12932,Dangerous Beauty
Jack Mathews,none,0118892,Los Angeles Times,,2001-02-14,12932,Dangerous Beauty
,none,0118892,Houston Chronicle,,2000-01-01,12932,Dangerous Beauty
Joe Baltake,none,0118892,Sacramento Bee,,2000-01-01,12932,Dangerous Beauty
Roger Ebert,fresh,0118892,Chicago Sun-Times,,2000-01-01,12932,Dangerous Beauty
Susan Stark,fresh,0118892,Detroit News,,2000-01-01,12932,Dangerous Beauty
Mick LaSalle,fresh,0118892,San Francisco Chronicle,,2000-01-01,12932,Dangerous Beauty
Stephen Holden,none,0118892,New York Times,,2000-01-01,12932,Dangerous Beauty
,rotten,0118892,USA Today,,2000-01-01,12932,Dangerous Beauty
James Berardinelli,fresh,0118892,ReelViews,,2000-01-01,12932,Dangerous Beauty
,fresh,0118892,Entertainment Weekly,,1998-02-20,12932,Dangerous Beauty
Owen Gleiberman,rotten,0187819,Entertainment Weekly,,2011-09-07,299820589,Doug's 1st Movie
Joe Leydon,rotten,0187819,Variety,Little more than a typical TV segment writ large for the mutiplexes.,2008-05-20,299820589,Doug's 1st Movie
Wally Hammond,rotten,0187819,Time Out,"These spin-offs remain animation on the cheap, and none yet -- straitjacketed by fidelity to its respective series -- has attained the density of image and kineticism of design of the art form's true originals.",2006-06-24,299820589,Doug's 1st Movie
Jeff Millar,fresh,0187819,Houston Chronicle,The film hasn't much entertainment value for those much over the age of 10. There's not a thing in the world wrong with that.,2005-07-21,299820589,Doug's 1st Movie
Peter Stack,fresh,0187819,San Francisco Chronicle,"A sweetly spoofy, thoughtful animated feature, sure to please its preteen target audience.",2000-01-01,299820589,Doug's 1st Movie
Anita Gates,fresh,0187819,New York Times,"Not inspired children's entertainment, but it has a certain charm.",2000-01-01,299820589,Doug's 1st Movie
James Berardinelli,rotten,0187819,ReelViews,A new nadir in animated entertainment.,2000-01-01,299820589,Doug's 1st Movie
Roger Ebert,rotten,0187819,Chicago Sun-Times,Rugrats it ain't.,2000-01-01,299820589,Doug's 1st Movie
Paul Tatara,rotten,0187819,CNN.com,The real problem here is the characters' utter blandness of conception.,2000-01-01,299820589,Doug's 1st Movie
Susan Stark,rotten,0187819,Detroit News,,2000-01-01,299820589,Doug's 1st Movie
,rotten,0187819,Entertainment Weekly,,1999-03-26,299820589,Doug's 1st Movie
Owen Gleiberman,fresh,0131369,Entertainment Weekly,,2011-09-07,11457,Edtv
Todd McCarthy,none,0131369,Variety,,2009-03-24,11457,Edtv
Andrew Sarris,none,0131369,New York Observer,,2007-04-27,11457,Edtv
,none,0131369,Time Out,,2006-01-26,11457,Edtv
,none,0131369,Houston Chronicle,,2005-07-21,11457,Edtv
Jeff Strickler,none,0131369,Minneapolis Star Tribune,,2002-11-06,11457,Edtv
,fresh,0131369,Globe and Mail,,2002-03-19,11457,Edtv
Peter Travers,none,0131369,Rolling Stone,,2001-05-11,11457,Edtv
,none,0131369,Hollywood Reporter,,2001-05-11,11457,Edtv
Kenneth Turan,none,0131369,Los Angeles Times,,2001-02-14,11457,Edtv
Mick LaSalle,fresh,0131369,San Francisco Chronicle,,2000-01-01,11457,Edtv
Janet Maslin,none,0131369,New York Times,,2000-01-01,11457,Edtv
Susan Stark,rotten,0131369,Detroit News,,2000-01-01,11457,Edtv
Roger Ebert,rotten,0131369,Chicago Sun-Times,,2000-01-01,11457,Edtv
Andrew O'Hehir,none,0131369,Salon.com,,2000-01-01,11457,Edtv
Jonathan Rosenbaum,rotten,0131369,Chicago Reader,,2000-01-01,11457,Edtv
Joe Baltake,none,0131369,Sacramento Bee,,2000-01-01,11457,Edtv
James Berardinelli,rotten,0131369,ReelViews,,2000-01-01,11457,Edtv
Paul Tatara,none,0131369,CNN.com,,2000-01-01,11457,Edtv
Peter Rainer,none,0131369,New York Magazine,,2000-01-01,11457,Edtv
Owen Gleiberman,rotten,0120757,Entertainment Weekly,,2011-09-07,15174,The Mod Squad
Todd McCarthy,rotten,0120757,Variety,This latest bigscreen retrofitting of a vintage TV series (1968-73) feels like the most shameless effort yet in the renewed exploitation of the youth market.,2009-09-09,15174,The Mod Squad
Susan Stark,rotten,0120757,Detroit News,,2007-03-10,15174,The Mod Squad
,rotten,0120757,Chicago Reader,An exercise in robotic filmmaking.,2007-01-05,15174,The Mod Squad
Liam Lacey,rotten,0120757,Globe and Mail,"A flawed fraud, a youth movie so disjointed, witless and condescending that it's painful to watch.",2003-04-25,15174,The Mod Squad
Bob Graham,rotten,0120757,San Francisco Chronicle,Plays like a 90-minute version of the old television show. That's not necessarily bad.,2002-06-18,15174,The Mod Squad
Kevin Thomas,fresh,0120757,Los Angeles Times,"A great-looking picture that zips along with grace, light on its feet but possessed of just enough gravity to allow us to take its people rather than its old TV series premise seriously.",2001-02-14,15174,The Mod Squad
Mary Elizabeth Williams,rotten,0120757,Salon.com,Is it possible to try too hard without making any effort whatsoever? Because that seems to be the one slim accomplishment of The Mod Squad.,2000-01-01,15174,The Mod Squad
Lawrence Van Gelder,rotten,0120757,New York Times,"At the end, theater exit signs are welcome beacons.",2000-01-01,15174,The Mod Squad
James Berardinelli,rotten,0120757,ReelViews,"This is the kind of movie that isn't even worth renting when it comes out on video because, with the possible exception of Michael Lerner and Omar Epps dancing to show tunes, you've seen it all before.",2000-01-01,15174,The Mod Squad
Justine Elias,rotten,0120757,Village Voice,"If the makers of the new Mod Squad had really studied their source material, they would have noticed how weak it was to begin with, and ended this mess after 60, rather than 94, minutes of pain.",2000-01-01,15174,The Mod Squad
Roger Ebert,rotten,0120757,Chicago Sun-Times,"The Mod Squad has an intriguing cast, a director who knows how to use his camera and a lot of sly humor. Shame about the story.",2000-01-01,15174,The Mod Squad
Paul Clinton (CNN.com),rotten,0120757,CNN.com,This isn't a horrible film. It's just no good.,2000-01-01,15174,The Mod Squad
,rotten,0120757,Entertainment Weekly,,1999-03-26,15174,The Mod Squad
Owen Gleiberman,fresh,0122906,Entertainment Weekly,,2011-09-07,770671694,Among Giants
David Stratton,none,0122906,Variety,,2009-02-11,770671694,Among Giants
,fresh,0122906,Entertainment Weekly,,2008-11-24,770671694,Among Giants
Geoff Andrew,none,0122906,Time Out,,2006-02-09,770671694,Among Giants
Jeff Strickler,none,0122906,Minneapolis Star Tribune,,2002-11-06,770671694,Among Giants
Ella Taylor,none,0122906,L.A. Weekly,,2002-10-29,770671694,Among Giants
,rotten,0122906,Globe and Mail,,2002-03-19,770671694,Among Giants
Kevin Thomas,none,0122906,Los Angeles Times,,2001-02-14,770671694,Among Giants
Roger Ebert,fresh,0122906,Chicago Sun-Times,,2000-01-01,770671694,Among Giants
Stanley Kauffmann,none,0122906,The New Republic,,2000-01-01,770671694,Among Giants
Stephen Holden,none,0122906,New York Times,,2000-01-01,770671694,Among Giants
Jessica Winter,none,0122906,Village Voice,,2000-01-01,770671694,Among Giants
James Berardinelli,rotten,0122906,ReelViews,,2000-01-01,770671694,Among Giants
Peter Rainer,none,0122906,New York Magazine,,2000-01-01,770671694,Among Giants
Edward Guthmann,none,0122906,San Francisco Chronicle,,2000-01-01,770671694,Among Giants
Lisa Schwarzbaum,fresh,0120613,Entertainment Weekly,,2011-09-07,13121,A Walk on the Moon
,none,0120613,Houston Chronicle,,2006-12-30,13121,A Walk on the Moon
,none,0120613,Time Out,,2006-01-26,13121,A Walk on the Moon
Jeff Strickler,none,0120613,Minneapolis Star Tribune,,2002-11-06,13121,A Walk on the Moon
,rotten,0120613,Globe and Mail,,2002-03-19,13121,A Walk on the Moon
Peter Travers,none,0120613,Rolling Stone,,2001-05-11,13121,A Walk on the Moon
