Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
MEMORIAL HOSPITAL,180043,KY,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,180020,KY,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
NORTH CAROLINA SPECIALTY HOSPITAL,340049,NC,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
PREMIER SURGICAL INSTITUTE,170203,KS,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
PREMIER SURGICAL INSTITUTE,170203,KS,READM-30-COPD-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
SEVIER VALLEY MEDICAL CENTER,460026,UT,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
GARFIELD MEMORIAL HOSPITAL,460033,UT,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC",170200,KS,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
"SUMMIT SURGICAL, LLC",170198,KS,READM-30-COPD-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"KANSAS SPINE & SPECIALTY HOSPITAL, LLC",170196,KS,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
OREM COMMUNITY HOSPITAL,460043,UT,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
OREM COMMUNITY HOSPITAL,460043,UT,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
THE ORTHOPEDIC SPECIALTY HOSPITAL,460049,UT,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
SALINA SURGICAL HOSPITAL,170187,KS,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
PHYSICIANS MEDICAL CENTER,190241,LA,READM-30-COPD-HRRP,0,7,,,,,07/01/2010,06/30/2013
SABINE MEDICAL CENTER,190218,LA,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
COFFEY COUNTY HOSPITAL,170094,KS,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SUMNER REGIONAL MEDICAL CENTER,170039,KS,READM-30-HF-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
FRANCISCAN ST FRANCIS HEALTH - CARMEL,150182,IN,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
EDWIN SHAW REHAB INSTITUTE,360241,OH,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"WOODS AT PARKSIDE,THE",360247,OH,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"WOODS AT PARKSIDE,THE",360247,OH,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
THREE GABLES SURGERY CENTER,360261,OH,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,150168,IN,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,150167,IN,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
DUPONT HOSPITAL LLC,150150,IN,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,150057,IN,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
FRESNO HEART AND SURGICAL HOSPITAL,050732,CA,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
COLUMBUS REGIONAL HEALTHCARE SYSTEM,340068,NC,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,150022,IN,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
RANSOM MEMORIAL HOSPITAL,170014,KS,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
PARKWAY REGIONAL HOSPITAL,180117,KY,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
ILLINOIS VALLEY COMMUNITY HOSPITAL,140234,IL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
WAHIAWA GENERAL HOSPITAL,120004,HI,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SGMC BERRIEN CAMPUS,110234,GA,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
WILMINGTON TREATMENT CENTER,340168,NC,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
VIDANT BEAUFORT HOSPITAL,340186,NC,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
DAVIE MEDICAL CENTER,340187,NC,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
ADVENTIST BOLINGBROOK HOSPITAL,140304,IL,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SAINT ANTHONY HOSPITAL,140095,IL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
LORETTO HOSPITAL,140083,IL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
TOUCHETTE REGIONAL HOSPITAL INC,140077,IL,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
VISTA MEDICAL CENTER WEST,140033,IL,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
VISTA MEDICAL CENTER WEST,140033,IL,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
MOUNTAIN VIEW HOSPITAL,130065,ID,READM-30-PN-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
HAYWOOD PARK COMMUNITY HOSPITAL,440174,TN,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
TREASURE VALLEY HOSPITAL,130063,ID,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
MADISON MEMORIAL HOSPITAL,130025,ID,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
NORTH HAWAII COMMUNITY HOSPITAL,120028,HI,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER,110111,GA,READM-30-HF-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER,110111,GA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
MINERS MEDICAL CENTER,390130,PA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
EMANUEL MEDICAL CENTER,110109,GA,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,110101,GA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
EPIC MEDICAL CENTER,370169,OK,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
APPLING HOSPITAL,110071,GA,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
PHOEBE SUMTER MEDICAL CENTER,110044,GA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
WELLSTAR PAULDING HOSPITAL,110042,GA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
NORTH GEORGIA MEDICAL CENTER,110205,GA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
NORTHSIDE MEDICAL CENTER,110200,GA,READM-30-COPD-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
METHODIST HOSPITAL OF CHICAGO,140197,IL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"OHIO VALLEY MEDICAL CENTER, LLC",360355,OH,READM-30-COPD-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
WEST KENDALL BAPTIST HOSPITAL,100314,FL,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,110146,GA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SAINT THOMAS HOSPITAL FOR SPINAL SURGERY,440218,TN,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
EVANS MEMORIAL HOSPITAL,110142,GA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
FLORIDA STATE HOSPITAL UNIT 31 MED,100298,FL,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
PARK CITY MEDICAL CENTER,460057,UT,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
PARK CITY MEDICAL CENTER,460057,UT,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
ST MARY'S MEDICAL CENTER,100288,FL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
LONE PEAK HOSPITAL,460060,UT,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
ANNE BATES LEACH EYE HOSPITAL,100240,FL,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
UVALDE MEMORIAL HOSPITAL,450177,TX,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
LAKE WALES MEDICAL CENTER,100099,FL,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
HUTCHESON MEDICAL CENTER,110004,GA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
PALM BAY HOSPITAL,100316,FL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
DESOTO MEMORIAL HOSPITAL,100175,FL,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
BAPTIST MEDICAL CENTER - NASSAU,100140,FL,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
ED FRASER MEMORIAL HOSPITAL,100134,FL,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - FREMONT,050512,CA,READM-30-PN-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"CONNECTICUT HOSPICE INC,THE",070038,CT,READM-30-COPD-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
FORT DEFIANCE INDIAN HOSPITAL,030071,AZ,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
SAN CARLOS INDIAN HOSPITAL,030077,AZ,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
MIRACLE MILE MEDICAL CENTER,050751,CA,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL MANTECA,050748,CA,READM-30-PN-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
WESTERN MEDICAL CENTER SANTA ANA,050746,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
MONTEREY PARK HOSPITAL,050736,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
STANISLAUS SURGICAL HOSPITAL,050726,CA,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
FRESNO SURGICAL HOSPITAL,050708,CA,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,030112,AZ,READM-30-COPD-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
WHITERIVER PHS INDIAN HOSPITAL,030113,AZ,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
WHITERIVER PHS INDIAN HOSPITAL,030113,AZ,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
PATIENTS' HOSPITAL OF REDDING,050697,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
CASTLE ROCK ADVENTIST HOSPITAL,060125,CO,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
BANNER IRONWOOD MEDICAL CENTER,030130,AZ,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,060124,CO,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"FLORENCE HOSPITAL AT ANTHEM, LLC",030132,AZ,READM-30-HF-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
BANNER GOLDFIELD MEDICAL CENTER,030134,AZ,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"ANIMAS SURGICAL HOSPITAL, LLC",060117,CO,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL-SANTA ROSA,050690,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
"KAISER FOUNDATION HOSPITAL, RIVERSIDE",050686,CA,READM-30-HIP-KNEE-HRRP,0,7,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,050677,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,050677,CA,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSP SO SACRAMENTO,050674,CA,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
"DOCTORS HOSPITAL OF WEST COVINA, INC",050096,CA,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - ANAHEIM,050609,CA,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - ANAHEIM,050609,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
TEMECULA VALLEY HOSPITAL,050775,CA,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
SAN LEANDRO HOSPITAL,050773,CA,READM-30-PN-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
CRITTENDEN MEMORIAL HOSPITAL,040042,AR,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
FIVE RIVERS MEDICAL CENTER,040047,AR,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - ROSEVILLE,050772,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SUTTER SURGICAL HOSPITAL - NORTH VALLEY,050766,CA,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
DREW MEMORIAL HOSPITAL,040051,AR,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SAN DIMAS COMMUNITY HOSPITAL,050588,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - WEST LA,050561,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
MOTION PICTURE & TELEVISION HOSPITAL,050552,CA,READM-30-HF-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
ARKANSAS SURGICAL HOSPITAL,040147,AR,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
ARKANSAS SURGICAL HOSPITAL,040147,AR,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
ARKANSAS SURGICAL HOSPITAL,040147,AR,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,050137,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,050137,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,050135,CA,READM-30-HIP-KNEE-HRRP,0,7,,,,,07/01/2010,06/30/2013
FALLBROOK HOSPITAL DISTRICT,050435,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
CHINESE HOSPITAL,050407,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
LAC+USC MEDICAL CENTER,050373,CA,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
GOLETA VALLEY COTTAGE HOSPITAL,050357,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
ST ELIZABETH COMMUNITY HOSPITAL,050042,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
BARTON MEMORIAL HOSPITAL,050352,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
MARICOPA MEDICAL CENTER,030022,AZ,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,050076,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,050072,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
VENTURA COUNTY MEDICAL CENTER,050159,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,050070,CA,READM-30-AMI-HRRP,0,7,,,,,07/01/2010,06/30/2013
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
J PAUL JONES HOSPITAL,010102,AL,READM-30-HF-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
NORTHWEST MEDICAL CENTER,010086,AL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,010087,AL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,010087,AL,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
ELMORE COMMUNITY HOSPITAL,010097,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
WIREGRASS MEDICAL CENTER,010062,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
LAWRENCE MEDICAL CENTER,010059,AL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
BIBB MEDICAL CENTER,010058,AL,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,READM-30-HIP-KNEE-HRRP,0,7,,,,,07/01/2010,06/30/2013
BULLOCK COUNTY HOSPITAL,010110,AL,READM-30-PN-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
BIBB MEDICAL CENTER,010058,AL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
GEORGIANA MEDICAL CENTER,010047,AL,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL-SANTA CLARA,050071,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,050070,CA,READM-30-HF-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,050040,CA,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,050040,CA,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
PHYSICIANS' SPECIALTY HOSPITAL,040152,AR,READM-30-COPD-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
LEO N LEVI NATIONAL ARTHRITIS HOSPITAL,040132,AR,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
MT EDGECUMBE HOSPITAL,020027,AK,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
MARYVALE HOSPITAL,030001,AZ,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
GREAT RIVER MEDICAL CENTER,040069,AR,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
FORREST CITY MEDICAL CENTER,040019,AR,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
COMMUNITY HOSPITAL OF SAN BERNARDINO,050089,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
"FLORENCE HOSPITAL AT ANTHEM, LLC",030132,AZ,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
OASIS HOSPITAL,030131,AZ,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
BANNER IRONWOOD MEDICAL CENTER,030130,AZ,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
GILBERT HOSPITAL,030120,AZ,READM-30-HIP-KNEE-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
GILBERT HOSPITAL,030120,AZ,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,030112,AZ,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"SURGICAL HOSPITAL OF PHOENIX, THE",030108,AZ,READM-30-PN-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
"SURGICAL HOSPITAL OF PHOENIX, THE",030108,AZ,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
GARDEN GROVE HOSPITAL & MEDICAL CENTER,050230,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
PHOENIX INDIAN MEDICAL CENTER,030078,AZ,READM-30-HF-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
PHOENIX INDIAN MEDICAL CENTER,030078,AZ,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,050073,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,050075,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,050076,CA,READM-30-HF-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SELLS INDIAN HEALTH SERVICE HOSPITAL,030074,AZ,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
INTEGRIS BAPTIST REGIONAL HEALTH CENTER,370004,OK,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-AMI-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-PN-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
MT GRAHAM REGIONAL MEDICAL CENTER,030068,AZ,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,TX,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
PACIFICA HOSPITAL OF THE VALLEY,050378,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
HOUSTON PHYSICIANS' HOSPITAL,670008,TX,READM-30-COPD-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
THE HOSPITAL AT WESTLAKE MEDICAL CENTER,670006,TX,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,520205,WI,READM-30-COPD-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
CACHE VALLEY SPECIALITY HOSPITAL,460054,UT,READM-30-PN-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
SAINT THOMAS HOSPITAL FOR SPINAL SURGERY,440218,TN,READM-30-HF-HRRP,Not Available,5,,,,,07/01/2010,06/30/2013
PALO VERDE HOSPITAL,050423,CA,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
DUBLIN METHODIST HOSPITAL,360348,OH,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
KAISER FOUNDATION HOSPITAL - SACRAMENTO,050425,CA,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
COASTAL CAROLINA HOSPITAL,420101,SC,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
INTEGRIS CLINTON REGIONAL HOSPITAL,370029,OK,READM-30-AMI-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,350063,ND,READM-30-COPD-HRRP,Not Available,1,,,,,07/01/2010,06/30/2013
